tweet_id,retweet_count,favorite_count
892420643555336193,7660,35985
892177421306343426,5660,31067
891815181378084864,3753,23377
891689557279858688,7825,39285
891327558926688256,8423,37522
891087950875897856,2827,18903
890971913173991426,1841,10987
890729181411237888,17089,60659
890609185150312448,3889,26025
890240255349198849,6649,29728
890006608113172480,6634,28608
889880896479866881,4517,26034
889665388333682689,9054,44807
889638837579907072,4056,25222
889531135344209921,2047,14134
889278841981685760,4831,23496
888917238123831296,4069,27149
888804989199671297,3838,23847
888554962724278272,3150,18404
888078434458587136,3143,20317
887705289381826560,4892,28210
887517139158093824,10672,43271
887473957103951883,16300,64128
887343217045368832,9492,31398
887101392804085760,5407,28573
886983233522544640,6949,32557
886736880519319552,2914,11181
886680336477933568,4058,20979
886366144734445568,2871,19713
886267009285017600,4,111
886258384151887873,5722,26111
886054160059072513,100,0
885984800019947520,6087,30399
885528943205470208,5793,33532
885518971528720385,3385,19102
885311592912609280,16785,0
885167619883638784,3958,20425
884925521741709313,16386,71896
884876753390489601,5056,25971
884562892145688576,4260,22668
884441805382717440,5161,25292
884247878851493888,18413,67717
884162670584377345,2713,19038
883838122936631299,3106,20388
883482846933004288,8952,42751
883360690899218434,3355,21157
883117836046086144,6024,34628
882992080364220416,3530,22301
882762694511734784,4430,26353
882627270321602560,5505,26124
882268110199369728,10490,41811
882045870035918850,4429,27355
881906580714921986,3082,22723
881666595344535552,9671,47277
881633300179243008,7,117
881536004380872706,14484,46165
881268444196462592,4789,21673
880935762899988482,2534,15962
880872448815771648,3474,19866
880465832366813184,5638,26560
880221127280381952,3784,25166
880095782870896641,3934,25769
879862464715927552,3171,20889
879674319642796034,10,295
879492040517615616,2898,21921
879415818425184262,40364,98757
879376492567855104,2840,15702
879130579576475649,6175,0
879050749262655488,4273,21039
879008229531029506,2431,17761
878776093423087618,3713,18101
878604707211726852,6441,28147
878404777348136964,1170,0
878316110768087041,6050,0
878281511006478336,1170,7226
878057613040115712,6175,39320
877736472329191424,17237,74105
877611172832227328,73,0
877556246731214848,3461,21211
877316821321428993,4741,25624
877201837425926144,5074,25344
876838120628539392,3033,19353
876537666061221889,4274,22146
876484053909872640,2157,17566
876120275196170240,4249,26176
875747767867523072,3892,23543
875144289856114688,4468,20523
875097192612077568,5537,25676
875021211251597312,4300,23869
874680097055178752,4224,26038
874434818259525634,13260,0
874296783580663808,3756,24390
874057562936811520,3635,21277
874012996292530176,9355,32114
873580283840344065,3601,22717
873337748698140672,1456,0
873213775632977920,1456,6713
872967104147763200,4960,25558
872820683541237760,3410,13833
872620804844003328,3338,19460
872486979161796608,8283,38267
872122724285648897,7415,32209
871879754684805121,10072,35319
871762521631449091,3202,19006
871515927908634625,3197,18971
871166179821445120,5250,0
871102520638267392,5063,19682
871032628920680449,3516,21386
870804317367881728,5695,31672
870726314365509632,3,114
870656317836468226,2424,11629
870374049280663552,24421,78215
870308999962521604,3818,20643
870063196459192321,7662,34438
